statistic,tavg,prcp,Q_1
mean,0.0,-40.0,177.84
mean,0.0,-20.0,370.61
mean,0.0,0.0,585.46
mean,0.0,20.0,806.73
mean,0.0,40.0,1030.7
mean,2.0,-40.0,168.55
mean,2.0,-20.0,358.01
mean,2.0,0.0,571.32
mean,2.0,20.0,791.56
mean,2.0,40.0,1014.67
mean,4.0,-40.0,160.47
mean,4.0,-20.0,346.79
mean,4.0,0.0,558.65
mean,4.0,20.0,777.95
mean,4.0,40.0,1000.28
mean,6.0,-40.0,153.47
mean,6.0,-20.0,336.81
mean,6.0,0.0,547.33
mean,6.0,20.0,765.76
mean,6.0,40.0,987.39
max,0.0,-40.0,3231.5
max,0.0,-20.0,4033.98
max,0.0,0.0,4459.27
max,0.0,20.0,4834.15
max,0.0,40.0,5198.7
max,2.0,-40.0,3141.87
max,2.0,-20.0,3991.33
max,2.0,0.0,4433.65
max,2.0,20.0,4812.43
max,2.0,40.0,5179.42
max,4.0,-40.0,3060.66
max,4.0,-20.0,3950.65
max,4.0,0.0,4409.91
max,4.0,20.0,4792.43
max,4.0,40.0,5161.75
max,6.0,-40.0,2987.02
max,6.0,-20.0,3911.97
max,6.0,0.0,4387.92
max,6.0,20.0,4774.17
max,6.0,40.0,5145.58
min,0.0,-40.0,0.0389
min,0.0,-20.0,0.2175
min,0.0,0.0,0.541
min,0.0,20.0,1.0422
min,0.0,40.0,1.6396
min,2.0,-40.0,0.0222
min,2.0,-20.0,0.1573
min,2.0,0.0,0.4297
min,2.0,20.0,0.8661
min,2.0,40.0,1.4141
min,4.0,-40.0,0.0134
min,4.0,-20.0,0.1146
min,4.0,0.0,0.3475
min,4.0,20.0,0.7287
min,4.0,40.0,1.2245
min,6.0,-40.0,0.0086
min,6.0,-20.0,0.0819
min,6.0,0.0,0.2825
min,6.0,20.0,0.611
min,6.0,40.0,1.0772
q95,0.0,-40.0,828.2
q95,0.0,-20.0,1499.79
q95,0.0,0.0,2028.84
q95,0.0,20.0,2489.79
q95,0.0,40.0,2935.67
q95,2.0,-40.0,792.07
q95,2.0,-20.0,1468.25
q95,2.0,0.0,2004.82
q95,2.0,20.0,2467.38
q95,2.0,40.0,2915.07
q95,4.0,-40.0,758.76
q95,4.0,-20.0,1440.15
q95,4.0,0.0,1983.29
q95,4.0,20.0,2447.91
q95,4.0,40.0,2896.31
q95,6.0,-40.0,731.28
q95,6.0,-20.0,1413.77
q95,6.0,0.0,1963.77
q95,6.0,20.0,2429.88
q95,6.0,40.0,2879.1
returninterval,0.0,-40.0,5522.1
returninterval,0.0,-20.0,6100.06
returninterval,0.0,0.0,6343.19
returninterval,0.0,20.0,6565.26
returninterval,0.0,40.0,6814.76
returninterval,2.0,-40.0,5419.16
returninterval,2.0,-20.0,6052.83
returninterval,2.0,0.0,6317.35
returninterval,2.0,20.0,6544.95
returninterval,2.0,40.0,6796.39
returninterval,4.0,-40.0,5323.95
returninterval,4.0,-20.0,6007.36
returninterval,4.0,0.0,6293.43
returninterval,4.0,20.0,6526.32
returninterval,4.0,40.0,6779.62
returninterval,6.0,-40.0,5236.9
returninterval,6.0,-20.0,5964.66
returninterval,6.0,0.0,6271.24
returninterval,6.0,20.0,6508.83
returninterval,6.0,40.0,6764.35
Q7day_max,0.0,-40.0,1849.29
Q7day_max,0.0,-20.0,2492.54
Q7day_max,0.0,0.0,2934.5
Q7day_max,0.0,20.0,3342.46
Q7day_max,0.0,40.0,3750.34
Q7day_max,2.0,-40.0,1796.49
Q7day_max,2.0,-20.0,2463.02
Q7day_max,2.0,0.0,2914.2
Q7day_max,2.0,20.0,3323.6
Q7day_max,2.0,40.0,3732.0
Q7day_max,4.0,-40.0,1748.76
Q7day_max,4.0,-20.0,2435.27
Q7day_max,4.0,0.0,2895.52
Q7day_max,4.0,20.0,3306.39
Q7day_max,4.0,40.0,3715.25
Q7day_max,6.0,-40.0,1706.23
Q7day_max,6.0,-20.0,2409.02
Q7day_max,6.0,0.0,2878.35
Q7day_max,6.0,20.0,3290.79
Q7day_max,6.0,40.0,3700.02
wetmonth_mean,0.0,-40.0,611.19
wetmonth_mean,0.0,-20.0,1137.59
wetmonth_mean,0.0,0.0,1600.43
wetmonth_mean,0.0,20.0,2051.08
wetmonth_mean,0.0,40.0,2494.2
wetmonth_mean,2.0,-40.0,585.26
wetmonth_mean,2.0,-20.0,1117.24
wetmonth_mean,2.0,0.0,1581.43
wetmonth_mean,2.0,20.0,2032.15
wetmonth_mean,2.0,40.0,2475.28
wetmonth_mean,4.0,-40.0,562.15
wetmonth_mean,4.0,-20.0,1098.44
wetmonth_mean,4.0,0.0,1564.12
wetmonth_mean,4.0,20.0,2014.92
wetmonth_mean,4.0,40.0,2458.07
wetmonth_mean,6.0,-40.0,541.68
wetmonth_mean,6.0,-20.0,1081.15
wetmonth_mean,6.0,0.0,1548.43
wetmonth_mean,6.0,20.0,1999.32
wetmonth_mean,6.0,40.0,2442.47
returninternval_min_7day,0.0,-40.0,0.0019
returninternval_min_7day,0.0,-20.0,0.0184
returninternval_min_7day,0.0,0.0,0.1192
returninternval_min_7day,0.0,20.0,0.6628
returninternval_min_7day,0.0,40.0,1.3559
returninternval_min_7day,2.0,-40.0,0.0016
returninternval_min_7day,2.0,-20.0,0.0072
returninternval_min_7day,2.0,0.0,0.0646
returninternval_min_7day,2.0,20.0,0.4498
returninternval_min_7day,2.0,40.0,1.0973
returninternval_min_7day,4.0,-40.0,0.0013
returninternval_min_7day,4.0,-20.0,0.0048
returninternval_min_7day,4.0,0.0,0.0974
returninternval_min_7day,4.0,20.0,0.282
returninternval_min_7day,4.0,40.0,0.8558
returninternval_min_7day,6.0,-40.0,0.0013
returninternval_min_7day,6.0,-20.0,0.0085
returninternval_min_7day,6.0,0.0,0.0221
returninternval_min_7day,6.0,20.0,0.1579
returninternval_min_7day,6.0,40.0,0.6603
Q7day_min,0.0,-40.0,0.0605
Q7day_min,0.0,-20.0,0.2786
Q7day_min,0.0,0.0,0.6492
Q7day_min,0.0,20.0,1.2009
Q7day_min,0.0,40.0,1.8382
Q7day_min,2.0,-40.0,0.0384
Q7day_min,2.0,-20.0,0.2077
Q7day_min,2.0,0.0,0.5205
Q7day_min,2.0,20.0,1.0088
Q7day_min,2.0,40.0,1.5967
Q7day_min,4.0,-40.0,0.0243
Q7day_min,4.0,-20.0,0.1552
Q7day_min,4.0,0.0,0.4269
Q7day_min,4.0,20.0,0.8541
Q7day_min,4.0,40.0,1.392
Q7day_min,6.0,-40.0,0.0167
Q7day_min,6.0,-20.0,0.1158
Q7day_min,6.0,0.0,0.3524
Q7day_min,6.0,20.0,0.7247
Q7day_min,6.0,40.0,1.2274
drymonth_mean,0.0,-40.0,0.9016
drymonth_mean,0.0,-20.0,2.0822
drymonth_mean,0.0,0.0,3.7755
drymonth_mean,0.0,20.0,5.8393
drymonth_mean,0.0,40.0,8.1059
drymonth_mean,2.0,-40.0,0.7406
drymonth_mean,2.0,-20.0,1.7824
drymonth_mean,2.0,0.0,3.2922
drymonth_mean,2.0,20.0,5.1882
drymonth_mean,2.0,40.0,7.8112
drymonth_mean,4.0,-40.0,0.6206
drymonth_mean,4.0,-20.0,1.5448
drymonth_mean,4.0,0.0,2.8971
drymonth_mean,4.0,20.0,4.6792
drymonth_mean,4.0,40.0,6.9251
drymonth_mean,6.0,-40.0,0.5271
drymonth_mean,6.0,-20.0,1.3549
drymonth_mean,6.0,0.0,2.5763
drymonth_mean,6.0,20.0,4.2774
drymonth_mean,6.0,40.0,6.2424
BaseFlowIndex,0.0,-40.0,0.0004
BaseFlowIndex,0.0,-20.0,0.0008
BaseFlowIndex,0.0,0.0,0.0011
BaseFlowIndex,0.0,20.0,0.0015
BaseFlowIndex,0.0,40.0,0.0018
BaseFlowIndex,2.0,-40.0,0.0003
BaseFlowIndex,2.0,-20.0,0.0006
BaseFlowIndex,2.0,0.0,0.0009
BaseFlowIndex,2.0,20.0,0.0013
BaseFlowIndex,2.0,40.0,0.0016
BaseFlowIndex,4.0,-40.0,0.0002
BaseFlowIndex,4.0,-20.0,0.0005
BaseFlowIndex,4.0,0.0,0.0008
BaseFlowIndex,4.0,20.0,0.0011
BaseFlowIndex,4.0,40.0,0.0014
BaseFlowIndex,6.0,-40.0,0.0001
BaseFlowIndex,6.0,-20.0,0.0004
BaseFlowIndex,6.0,0.0,0.0007
BaseFlowIndex,6.0,20.0,0.001
BaseFlowIndex,6.0,40.0,0.0012
